,population
29/3/1970,2088304
5/4/1970,2088959
12/4/1970,2089614
19/4/1970,2090269
26/4/1970,2090924
3/5/1970,2091579
10/5/1970,2092234
17/5/1970,2092889
24/5/1970,2093544
31/5/1970,2094199
7/6/1970,2094854
14/6/1970,2095509
21/6/1970,2096164
28/6/1970,2096820
5/7/1970,2097475
12/7/1970,2098130
19/7/1970,2098785
26/7/1970,2099440
2/8/1970,2100095
9/8/1970,2100750
16/8/1970,2101405
23/8/1970,2102060
30/8/1970,2102715
6/9/1970,2103370
13/9/1970,2104025
20/9/1970,2104680
27/9/1970,2105335
4/10/1970,2105990
11/10/1970,2106645
18/10/1970,2107300
25/10/1970,2107955
1/11/1970,2108610
8/11/1970,2109266
15/11/1970,2109921
22/11/1970,2110576
29/11/1970,2111231
6/12/1970,2111886
13/12/1970,2112541
20/12/1970,2113196
27/12/1970,2113851
3/1/1971,2114506
10/1/1971,2115161
17/1/1971,2115816
24/1/1971,2116471
31/1/1971,2117126
7/2/1971,2117781
14/2/1971,2118436
21/2/1971,2119091
28/2/1971,2119746
7/3/1971,2120401
14/3/1971,2121056
21/3/1971,2121711
28/3/1971,2122367
4/4/1971,2123022
11/4/1971,2123677
18/4/1971,2124332
25/4/1971,2124987
2/5/1971,2125642
9/5/1971,2126297
16/5/1971,2126952
23/5/1971,2127607
30/5/1971,2128262
6/6/1971,2128917
13/6/1971,2129572
20/6/1971,2130227
27/6/1971,2130882
4/7/1971,2131537
11/7/1971,2132192
18/7/1971,2132847
25/7/1971,2133502
1/8/1971,2134157
8/8/1971,2134813
15/8/1971,2135468
22/8/1971,2136123
29/8/1971,2136778
5/9/1971,2137433
12/9/1971,2138088
19/9/1971,2138743
26/9/1971,2139398
3/10/1971,2140053
10/10/1971,2140708
17/10/1971,2141363
24/10/1971,2142018
31/10/1971,2142673
7/11/1971,2143328
14/11/1971,2143983
21/11/1971,2144638
28/11/1971,2145293
5/12/1971,2145948
12/12/1971,2146603
19/12/1971,2147259
26/12/1971,2147914
2/1/1972,2148569
9/1/1972,2149224
16/1/1972,2149879
23/1/1972,2150534
30/1/1972,2151189
6/2/1972,2151844
13/2/1972,2152499
20/2/1972,2153154
27/2/1972,2153809
5/3/1972,2154464
12/3/1972,2155119
19/3/1972,2155774
26/3/1972,2156429
2/4/1972,2157084
9/4/1972,2157739
16/4/1972,2158394
23/4/1972,2159049
30/4/1972,2159705
7/5/1972,2160360
14/5/1972,2161015
21/5/1972,2161670
28/5/1972,2162325
4/6/1972,2162980
11/6/1972,2163635
18/6/1972,2164290
25/6/1972,2164945
2/7/1972,2165600
9/7/1972,2166255
16/7/1972,2166910
23/7/1972,2167565
30/7/1972,2168220
6/8/1972,2168875
13/8/1972,2169530
20/8/1972,2170185
27/8/1972,2170840
3/9/1972,2171495
10/9/1972,2172151
17/9/1972,2172806
24/9/1972,2173461
1/10/1972,2174116
8/10/1972,2174771
15/10/1972,2175426
22/10/1972,2176081
29/10/1972,2176736
5/11/1972,2177391
12/11/1972,2178046
19/11/1972,2178701
26/11/1972,2179356
3/12/1972,2180011
10/12/1972,2180666
17/12/1972,2181321
24/12/1972,2181976
31/12/1972,2182631
7/1/1973,2183286
14/1/1973,2183941
21/1/1973,2184597
28/1/1973,2185252
4/2/1973,2185907
11/2/1973,2186562
18/2/1973,2187217
25/2/1973,2187872
4/3/1973,2188527
11/3/1973,2189182
18/3/1973,2189837
25/3/1973,2190492
1/4/1973,2191147
8/4/1973,2191802
15/4/1973,2192457
22/4/1973,2193112
29/4/1973,2193767
6/5/1973,2194422
13/5/1973,2195077
20/5/1973,2195732
27/5/1973,2196387
3/6/1973,2197043
10/6/1973,2197698
17/6/1973,2198353
24/6/1973,2199008
1/7/1973,2199663
8/7/1973,2200318
15/7/1973,2200973
